ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,1,0,8,158,"[5690, 8992, 8553, 9426, 4038, 9205, 3609, 1390, 4537, 7432, 5568, 3925, 1611, 7513, 6998, 2763, 5649, 7197, 3487, 636, 3650, 3476, 4751, 3386, 3517, 8777, 2316, 9115, 5119, 4710, 6912, 7482, 7972, 7503, 5200, 744, 8830, 4414, 5046, 8952, 3568, 8891, 2610, 3762, 7952, 1296, 2427, 5547, 3895, 4690, 4221, 6463, 5515, 719, 8381, 4364, 9297, 8004, 5853, 8787, 4946, 8012, 5535, 540, 7351, 1031, 756, 8462, 5007, 6035, 8257, 7830, 3527, 7023, 8797, 9003, 8432, 5403, 5862, 8472, 8208, 3731, 9155, 2783, 8308, 2518, 9257, 5526, 5373, 8604, 6832, 7645, 837, 8421, 1693, 2437, 5893, 7321, 8166, 6025, 5087, 868, 1590, 2468, 8156, 7453, 1621, 8849, 1040, 2509, 8196, 7156, 2590, 8697, 4955, 5169, 9196, 9307, 86, 8583, 5342, 4497, 3446, 7300, 7676, 38, 6159, 8512, 2132, 3037, 2346, 4577, 6280, 7800, 5934, 3468, 5251, 1570, 5383, 3402, 1516, 1774, 6626, 9083, 5843, 3884, 4179, 6177, 7555, 1162, 4782, 5313, 8350, 9124, 5629, 7850, 7329, 3242, 5668]",0.848,0.043,0.748,0.013674974028734575,3.414582196487876e-58,True
1,1,0,8,530,"[2559, 4649, 7596, 7341, 2161, 3793, 3578, 4078, 4242, 3915, 4271, 5107, 3221, 1477, 7911, 3752, 8359, 7993, 5953, 4160, 8288, 8074, 4903, 5883, 3466, 7176, 4812, 8064, 8767, 5067, 7095, 5505, 4802, 3833, 9185, 4373, 8808, 3874, 2202, 8675, 5586, 4730, 8186, 4404, 8838, 2487, 2173, 4923, 8889, 2732, 6157, 8522, 5861, 2580, 5210, 1498, 6127, 2599, 4303, 8563, 2702, 9216, 8594, 2528, 5435, 3213, 4567, 8726, 5812, 6800, 9422, 5984, 9052, 9104, 4118, 3548, 3384, 3701, 2253, 1490, 5301, 8451, 6443, 3303, 7829, 4975, 7849, 5260, 5423, 5027, 8685, 7747, 593, 6809, 2661, 4485, 7025, 2151, 2458, 2855, 4877, 9165, 6830, 3690, 7056, 4281, 5097, 4190, 3058, 5272, 9123, 6728, 5056, 4944, 7136, 867, 5923, 5678, 8696, 4740, 2498, 4333, 8644, 8370, 6972, 7788, 8349, 3293, 3507, 5841, 3761, 9378, 2691, 2987, 3996, 7543, 2416, 6116, 6842, 7860, 1194, 8237, 4761, 7839, 5627, 5994, 9012, 347, 7707, 8206, 6565, 5414, 6065, 4781, 8217, 5760, 887, 4934, 9268, 5790, 2275, 5720, 3710, 8493, 3802, 7564, 8655, 9349, 7698, 4587, 4598, 9442, 6004, 8320, 3141, 7299, 5250, 8177, 8981, 6483, 5331, 9486, 2365, 7921, 8900, 5179, 6045, 3661, 8634, 8471, 7422, 7686, 8960, 4292, 1387, 7479, 7554, 7574, 3313, 8043, 3018, 3945, 4619, 4251, 4578, 6687, 8024, 9023, 3721, 1041, 8940, 3730, 9195, 1244, 3445, 8829, 7951, 907, 2079, 379, 4067, 4353, 8165, 9307, 7013, 8390, 7666, 4556, 2436, 7045, 6606, 8512, 5353, 2977, 5190, 5780, 878, 7676, 2569, 4689, 7330, 9454, 5474, 8481, 8860, 5536, 8002, 8441, 5597, 7819, 8930, 2355, 8139, 5168, 2284, 4424, 8533, 8910, 5382, 8196, 3202, 3345, 6738, 1513, 1030, 5393, 1774, 3680, 6249, 7115, 2936, 3782, 3191, 2334, 2477, 9134, 4394, 5219, 1621, 743, 5751, 2395, 4720, 6024, 2620, 9064, 2650, 8267, 5138, 8329, 4230, 6870, 104, 4363, 6596, 7208, 1275, 6677, 9145, 459, 5464, 9256, 8819, 3853, 9358, 6646, 4915, 5576, 3741, 3904, 8258, 3884, 3619, 8430, 2131, 3975, 4129, 7881, 3089, 5965, 388, 6433, 846, 1610, 5555, 6616, 8798, 8308, 1295, 7003, 8848, 4445, 2774, 1652, 7258, 6402, 9032, 4476, 275, 1152, 9464, 4659, 7718, 6290, 226, 8665, 5872, 357, 2723, 7739, 836, 7188, 3399, 418, 1345, 4823, 54, 5545, 5015, 4536, 7310, 2446, 5740, 1081, 6748, 5668, 6524, 5046, 5006, 4964, 2762, 2324, 1977, 6075, 9246, 5372, 6229, 7584, 2640, 4322, 7645, 8777, 4456, 8155, 7451, 8737, 3924, 3048, 6963, 5118, 143, 9175, 4169, 3608, 9001, 9338, 7982, 1091, 1998, 5913, 6087, 5698, 1569, 2121, 5127, 8716, 4180, 8756, 8277, 6106, 2243, 2294, 5159, 2671, 8401, 1602, 989, 4414, 2681, 9327, 8705, 5902, 4546, 785, 2814, 4750, 2426, 2956, 5710, 4057, 3374, 2316, 5515, 4495, 3099, 9297, 8951, 918, 5322, 3955, 6147, 6462, 491, 3986, 8298, 8421, 7961, 7502, 4709, 3419, 1732, 938, 6371, 8788, 6997, 5281, 3457, 1234, 5230, 9287, 7808, 4465, 3844, 6954, 6544, 4699, 2630, 8380, 5831, 5617, 3966, 1172, 2609, 84, 3593, 398, 511, 4006, 1936, 3009, 5639, 5973, 948, 1989, 5495, 5821, 6238, 2222, 4436, 4343, 7971, 3181, 1835, 8971, 634, 7431, 8543, 5454, 6331, 7321, 8227, 7156, 7512, 2142, 718, 8604, 826, 3476, 6494, 1162, 8614, 4986, 4037, 6035, 6984, 813, 4048, 2263, 4994, 2997, 8879, 7392, 4770, 4607, 8248, 6788, 7800, 8085, 2386, 6361, 7778]",0.846,0.048,0.537,0.012231554450613148,0.0,True
2,1,0,8,151,"[5541, 8243, 4981, 8803, 5470, 1158, 8018, 6968, 4756, 8079, 170, 315, 7427, 2208, 1484, 5307, 2881, 4165, 129, 4847, 1790, 6306, 7569, 5990, 4817, 1239, 3044, 3411, 7366, 8732, 1647, 7855, 4593, 363, 7733, 7519, 8569, 8109, 4430, 3838, 1556, 1912, 6876, 7213, 331, 8987, 4389, 5776, 1086, 4257, 150, 6449, 2738, 7692, 2565, 5144, 3543, 9059, 4909, 3207, 2045, 7988, 851, 7896, 4634, 6469, 1281, 3655, 0, 3696, 944, 4685, 8824, 260, 4104, 5562, 496, 2697, 210, 505, 4043, 3146, 5001, 8406, 3370, 4471, 98, 2534, 7376, 9201, 995, 5797, 423, 8171, 6632, 5052, 464, 77, 2779, 7100, 9222, 656, 1056, 5939, 2157, 963, 3737, 5684, 7947, 607, 8263, 2790, 2259, 6775, 4318, 8967, 5960, 9252, 4726, 8793, 1188, 4308, 709, 1327, 5531, 8355, 7712, 7111, 9150, 4277, 1850, 220, 7254, 1699, 7050, 557, 6948, 4552, 3981, 3900, 7442, 2137, 7272, 3615, 3941, 4185, 679, 3350, 1464, 241, 2677, 5256]",0.848,0.076,0.663,4.221465003292628e-06,0.0,True
3,1,4,8,80,"[370, 6053, 1192, 361, 1049, 4272, 8792, 5214, 2882, 927, 8875, 6468, 4893, 7304, 1111, 5529, 6933, 1918, 6995, 444, 332, 181, 401, 729, 7725, 1260, 2121, 7604, 752, 7460, 5613, 1951, 8849, 3996, 1510, 568, 5547, 9292, 4196, 8055, 8197, 4793, 8834, 1586, 4022, 8025, 3529, 4935, 7073, 200, 902, 1490, 3940, 607, 5866, 80, 8895, 7209, 4846, 5664, 1280, 1976, 3244, 8600, 5470, 209, 169, 3623, 4960, 1463, 4341, 786, 3899, 3946, 2676, 7137, 5343, 884, 3813, 6030, 2628]",0.846,0.077,0.722,1.2336801473465242e-06,0.0,True
4,1,0,8,109,"[4, 3500, 3520, 3612, 7975, 8434, 1726, 9280, 7333, 4713, 1624, 7027, 6018, 5172, 6630, 3541, 2318, 6467, 1398, 1502, 8516, 5865, 9321, 5009, 7649, 1125, 3205, 1665, 5743, 8475, 2236, 9005, 1991, 5651, 6059, 5855, 2399, 1889, 6915, 3653, 7363, 799, 5406, 7527, 7251, 462, 2348, 5080, 8261, 2766, 5661, 2052, 6834, 5284, 5050, 8312, 5376, 3572, 8424, 69, 1227, 9168, 5906, 3368, 2440, 391, 670, 8169, 8954, 3459, 7761, 7190, 2430, 361, 8353, 1186, 6028, 2593, 2481, 7853, 2185, 7455, 8923, 8271, 7005, 4958, 5213, 4224, 5702, 5039, 5580, 8964, 3439, 8893, 7516, 9127, 95, 819, 3582, 4183, 5692, 3989, 941, 4907, 7129, 4387, 2155, 7955, 3949, 9117]",0.845,0.08,0.702,2.3841222543722958e-06,0.0,True
5,1,0,8,211,"[7863, 8373, 4764, 5335, 2644, 7924, 5559, 4234, 2603, 4601, 8067, 6069, 5498, 8913, 3867, 4805, 9331, 7700, 5274, 5070, 3011, 8536, 8026, 4071, 4662, 8597, 2552, 2277, 4438, 2338, 6803, 2501, 7005, 5029, 3174, 9107, 3388, 8709, 3908, 8159, 6436, 8893, 2960, 5763, 8271, 4968, 2858, 6844, 5600, 8383, 5702, 2787, 8638, 4345, 9168, 2440, 4927, 2175, 8821, 3704, 412, 7129, 2848, 4020, 5814, 9219, 5437, 5743, 4723, 9097, 6681, 6518, 6273, 4948, 9127, 6599, 2348, 3663, 9005, 5845, 6028, 6110, 4254, 9270, 2134, 5906, 8230, 6008, 4193, 7190, 8210, 5009, 5111, 8587, 5947, 3123, 5926, 8862, 8220, 6569, 1991, 2226, 4397, 2766, 5631, 2399, 7506, 6477, 1604, 2797, 9025, 5865, 6793, 1971, 2807, 6222, 4261, 2389, 1930, 5386, 1767, 5447, 6548, 3215, 6813, 2562, 5651, 6691, 8505, 3765, 6579, 2664, 3337, 2185, 3928, 4958, 2032, 3052, 2899, 1522, 5243, 8291, 6640, 6385, 8179, 3918, 8699, 6314, 9046, 9382, 6986, 2195, 5661, 5376, 9372, 4081, 5957, 2236, 6283, 3439, 9290, 3989, 6232, 8342, 8964, 5172, 4336, 9311, 9209, 6324, 4917, 8842, 1808, 3378, 7659, 5284, 6834, 5131, 4356, 2481, 8648, 8760, 7170, 7608, 1166, 9117, 8312, 7516, 5977, 8546, 2318, 6120, 778, 5213, 7649, 5784, 3755, 3459, 4744, 8954, 7741, 3062, 3133, 8944, 6181, 6752, 3225, 7027, 8475, 6416, 2110, 9056]",0.848,0.08,0.648,0.00015550477420952705,0.0,True
6,1,0,8,226,"[5359, 7887, 7663, 8489, 4401, 8030, 4625, 4564, 9131, 6399, 8652, 3137, 2770, 5930, 6083, 4931, 8713, 3850, 8295, 5512, 6603, 8601, 1995, 6389, 5033, 3993, 8927, 5196, 8397, 4197, 8438, 8866, 589, 8499, 9080, 7826, 8540, 8458, 3830, 4248, 6093, 4788, 5461, 8876, 5400, 3178, 2352, 6287, 5665, 3504, 8550, 5981, 9192, 9355, 5767, 4411, 3239, 5828, 9029, 9335, 1689, 3300, 2658, 8193, 4768, 7867, 8774, 884, 9345, 4034, 3667, 2821, 2515, 8377, 6144, 5074, 6430, 3086, 6817, 9243, 7092, 1526, 4360, 5869, 5390, 8336, 7673, 5135, 5614, 7979, 2291, 2342, 3881, 8326, 2933, 5339, 6990, 2668, 8917, 9294, 2240, 2556, 5604, 6562, 4462, 5237, 3738, 293, 2923, 7785, 2301, 4727, 2505, 3626, 2189, 2678, 5227, 9172, 8662, 6226, 7051, 5441, 3270, 5451, 1669, 6328, 4605, 8672, 385, 5410, 7255, 3392, 4717, 8071, 1506, 5186, 6501, 3463, 6032, 6593, 8621, 4778, 4238, 1934, 5716, 7112, 7622, 6552, 6766, 8275, 2454, 5278, 2403, 8050, 8387, 2179, 7459, 4349, 7296, 4676, 3718, 3066, 8214, 2444, 2260, 8224, 2464, 2281, 4126, 5655, 9090, 5706, 6695, 9111, 6929, 925, 232, 3290, 2566, 2964, 4309, 7724, 7989, 4962, 9009, 2974, 3025, 782, 3229, 3810, 2984, 7796, 1129, 5176, 5726, 1078, 9223, 5532, 3015, 6491, 4809, 6073, 6756, 1027, 3779, 3901, 6440, 7704, 9386, 8968, 3331, 4289, 2913, 5094, 2607, 5920, 3677, 1097, 2107, 3188, 3341, 7551, 7337, 6797, 5206, 7234, 4442]",0.844,0.087,0.659,0.00021176480250702917,0.0,True
7,1,0,8,364,"[7890, 6617, 4200, 8442, 2988, 3670, 3620, 7462, 4628, 8656, 6555, 3997, 8391, 4771, 3049, 6525, 6250, 4119, 8033, 2651, 7217, 4466, 5180, 3629, 6504, 3354, 3182, 714, 5394, 6434, 8360, 8279, 4323, 2937, 2244, 6291, 8482, 5588, 6820, 3956, 1794, 8400, 3090, 7116, 8716, 4282, 5598, 3854, 4312, 6678, 5017, 2681, 6882, 2356, 6546, 2488, 8686, 2621, 7544, 6648, 3396, 3110, 5781, 2223, 5098, 1999, 6607, 1836, 5261, 6076, 2957, 7961, 3294, 7585, 9338, 8228, 3741, 6107, 8676, 7820, 2447, 5138, 7309, 6749, 2642, 3375, 3171, 6597, 6891, 9176, 4557, 3304, 5220, 143, 7381, 3334, 7259, 8850, 276, 4720, 3263, 4699, 2795, 4434, 7871, 8198, 6331, 968, 1071, 2499, 5424, 2039, 2336, 3965, 5159, 6393, 3232, 4252, 6362, 6973, 8523, 6270, 5516, 6729, 9308, 5669, 7778, 3314, 3100, 6688, 9247, 7014, 3222, 6993, 2407, 4609, 9491, 2896, 8911, 5068, 6454, 9043, 5189, 6403, 4353, 3018, 2671, 6494, 6311, 1549, 3273, 1672, 5965, 2834, 9134, 7075, 3904, 3323, 6709, 8860, 3823, 7656, 2998, 3283, 4965, 2977, 5057, 3420, 9369, 6066, 1733, 7687, 8289, 6484, 4342, 2691, 3192, 6229, 5790, 7941, 2784, 5496, 4425, 5454, 2079, 6148, 7982, 5996, 7605, 9125, 3028, 1631, 3059, 6005, 6667, 6535, 9013, 6097, 6046, 7900, 8065, 8452, 4996, 1132, 7574, 6953, 2365, 5333, 5292, 8024, 1906, 6739, 6586, 8879, 5913, 9237, 6637, 3243, 3691, 6718, 4231, 5129, 8268, 2600, 9206, 2571, 1713, 6566, 4415, 8707, 5903, 4638, 2856, 2285, 7207, 2916, 3763, 6423, 787, 3252, 5464, 2163, 7861, 3975, 7717, 2764, 3813, 1081, 5384, 6842, 4588, 4393, 8534, 6790, 2803, 6444, 5618, 5872, 6352, 5751, 6116, 5924, 5975, 3712, 2815, 5108, 8330, 7880, 214, 9486, 8319, 6932, 3130, 4935, 4069, 8726, 7177, 2927, 1977, 3213, 1897, 7136, 5833, 5414, 2325, 245, 3069, 8554, 4618, 4598, 3345, 2753, 5709, 8563, 3009, 7166, 3160, 593, 8819, 8838, 5985, 1112, 2273, 4679, 1517, 7003, 2458, 5149, 4761, 6178, 9266, 5444, 8778, 2885, 8941, 1571, 9378, 7697, 9053, 577, 4047, 4659, 5088, 3121, 1508, 2560, 8931, 2907, 7187, 2416, 3548, 918, 8584, 6784, 5352, 6871, 2386, 6373, 6474, 6515, 8309, 9186, 3843, 4302, 9445, 5272, 7330, 8971, 693, 1989, 2528, 6760, 2967, 7237, 2824, 1919, 8614, 9064, 2948, 9328, 6800, 1198, 6169, 1344, 8083]",0.848,0.097,0.643,0.001537268189781773,0.0,True
8,1,0,8,194,"[3799, 6164, 5124, 8590, 5053, 8702, 761, 3748, 8692, 4645, 6796, 4747, 8519, 4186, 5328, 7652, 8264, 5430, 8427, 6103, 7173, 4951, 3656, 1607, 4482, 7591, 3055, 3575, 5002, 5165, 8386, 3442, 9253, 4278, 3911, 5114, 6674, 7560, 8315, 2484, 8947, 8223, 5685, 6011, 9314, 3921, 2392, 2158, 6052, 7336, 8641, 3697, 3544, 8356, 4441, 6184, 8753, 9365, 4298, 8274, 3585, 7948, 5440, 5216, 5583, 2851, 5379, 4716, 5848, 4227, 1067, 6735, 7907, 8213, 4604, 5175, 3310, 9151, 7856, 1933, 5817, 4961, 8478, 3371, 4502, 7244, 8845, 7734, 6837, 2178, 2667, 9110, 4319, 3636, 2229, 5909, 6409, 6613, 9202, 2606, 2810, 4390, 3106, 6072, 2739, 5654, 3758, 4339, 7978, 5287, 3503, 7846, 6368, 5879, 6989, 3982, 3962, 6358, 6684, 4767, 9273, 2423, 2443, 4237, 6521, 4074, 4594, 6572, 8437, 2759, 3707, 7703, 7581, 8988, 9008, 2718, 3208, 1668, 2555, 2117, 7917, 4431, 924, 7744, 7061, 6470, 7866, 4808, 3147, 7530, 9304, 5012, 1087, 5277, 8733, 1770, 2994, 8152, 6827, 5420, 2086, 7091, 2402, 3096, 2239, 2943, 5104, 6317, 4696, 110, 5889, 2280, 4757, 2586, 7295, 4686, 1831, 6694, 5991, 7927, 9049, 5787, 3218, 4655, 3014, 5338, 8794, 1648, 4665, 6531, 8682, 8366, 3666, 5777, 3259]",0.848,0.098,0.683,1.0300990648987242e-05,0.0,True
9,1,0,8,118,"[2211, 2965, 3332, 2700, 4035, 3108, 7226, 3230, 6533, 6757, 2374, 3709, 6635, 8246, 4025, 3393, 3169, 6930, 3128, 6553, 3821, 3240, 478, 2904, 1130, 2914, 2537, 445, 3271, 5636, 1772, 366, 6125, 1507, 6696, 7235, 5238, 1650, 5289, 6584, 6380, 3210, 8337, 8378, 8735, 2822, 3067, 6268, 6472, 5340, 8898, 8572, 5147, 519, 3026, 318, 2343, 2506, 5605, 5391, 4912, 8867, 4963, 6492, 1527, 6655, 2669, 6594, 9132, 9387, 8541, 294, 6818, 6706, 8663, 9030, 3617, 1161, 1935, 5401, 926, 3882, 8174, 2445, 5707, 3291, 2924, 5452, 7113, 2180, 9356, 7522, 7980, 5075, 7654, 5931, 5962, 101, 3077, 8714, 9224, 6747, 3006, 681, 1629, 7073, 1487, 5768, 5228, 6094, 4984, 1915, 8409, 7145, 1008, 4728, 5870, 8215, 6145]",0.848,0.102,0.694,0.0006303645689007884,2.2125281433426563e-178,True
