ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,3,"0,2,3",43,1,"[4666, 7928]",0.85,0.85,0.85,6.566591719003951e-186,0.0,True
1,1,0,43,1,"[4679, 7941]",0.563,0.563,0.563,2.4056696847473282e-62,5.387695124631198e-119,True
2,2,"0,2",43,1,"[4771, 8033]",0.81,0.81,0.81,9.309442100995852e-127,8.068231145931955e-248,True
3,1,0,43,1,"[5531, 8793]",0.609,0.609,0.609,1.5054120346467977e-61,2.109802431253554e-117,True
4,2,"0,2",43,1,"[4650, 7912]",0.843,0.843,0.843,7.885495034264763e-127,5.7888053490598836e-248,True
5,1,0,43,1,"[4783, 8045]",0.613,0.613,0.613,1.0121265785042134e-63,9.536756203530487e-122,True
6,1,0,43,1,"[4757, 8019]",0.62,0.62,0.62,4.9564572165045866e-67,2.2870399178722293e-128,True
7,5,"0,1,2,3,6",43,1,"[4638, 7900]",1.262,1.262,1.262,2.20539842299121e-301,0.0,True
8,1,0,43,1,"[5515, 8777]",0.631,0.631,0.631,4.703869871061002e-59,2.0598785676496986e-112,True
9,1,0,43,1,"[4799, 8061]",0.64,0.64,0.64,1.6812763877370466e-63,2.6315355942050293e-121,True
10,1,0,43,1,"[4594, 7856]",0.663,0.663,0.663,1.532026464299504e-65,2.1850609520858621e-125,True
11,1,0,43,1,"[4691, 7953]",0.723,0.723,0.723,1.4750365543853395e-61,2.0255202417222074e-117,True
12,1,0,43,1,"[4579, 7841]",0.752,0.752,0.752,1.7190342640673958e-65,2.751060160614133e-125,True
13,1,0,43,2,"[4557, 7819, 4394]",1.613,0.772,1.193,1.5346497023928586e-63,4.822874941326412e-182,True
14,1,0,43,2,"[5564, 8826, 2139]",1.486,0.782,1.134,2.7856075658242775e-64,2.884284009139409e-184,True
15,1,0,43,1,"[4745, 8007]",0.789,0.789,0.789,3.732698659088414e-65,1.2971102247699413e-124,True
16,1,0,43,1,"[4606, 7868]",0.789,0.789,0.789,3.045670667971651e-66,8.635687195925961e-127,True
17,1,0,43,1,"[4625, 7887]",0.811,0.811,0.811,9.984571156711555e-65,9.280894889533036e-124,True
18,1,0,43,2,"[4906, 8168, 2133]",1.635,0.823,1.229,2.6119160255692727e-64,2.3776934000932313e-184,True
19,1,0,43,1,"[5503, 8765]",0.832,0.832,0.832,1.7788598192870447e-61,2.9458760672731554e-117,True
20,1,0,43,1,"[4708, 7970]",0.857,0.857,0.857,1.0847020887724835e-60,1.0953476333667684e-115,True
21,1,0,43,4,"[4730, 7992, 7829, 4567, 7666]",1.914,0.862,1.289,5.624762589150738e-66,6.89715953e-316,True
22,1,0,43,3,"[9424, 9465, 25, 9489]",1.925,0.897,1.425,1.3313052169928428e-16,4.4955833963503705e-55,False
23,1,0,43,4,"[5578, 8840, 2153, 2479, 5904]",1.936,0.902,1.845,3.238424429068604e-64,4.36333062634554e-307,True
24,1,0,43,1,"[4880, 8142]",0.906,0.906,0.906,1.1663828720004922e-66,1.2665236048532855e-127,True
25,1,0,43,6,"[5767, 9029, 5930, 2342, 9192, 2505, 9355]",1.921,0.91,1.562,4.017075194072872e-65,0.0,True
26,1,0,43,1,"[4545, 7807]",0.911,0.911,0.911,1.3171331132714195e-63,1.6150663094632726e-121,True
27,2,"2,0",43,2,"[4892, 8154, 2119]",1.891,1.143,1.517,4.003154076437566e-123,0.0,True
28,1,0,43,3,"[5600, 8862, 2175, 2501]",1.883,0.921,1.793,4.434988767013007e-65,5.536631506398747e-249,True
29,1,0,43,7,"[5237, 8336, 8499, 5074, 2301, 2464, 5726, 5400]",1.923,0.927,1.619,5.6060050127504545e-68,0.0,True
30,1,0,43,5,"[8651, 5389, 2616, 9018, 2290, 8325]",1.946,0.928,1.758,7.868797096928839e-63,0.0,True
31,1,0,43,1,"[5543, 8805]",0.954,0.954,0.954,2.9602190642663513e-63,8.157906505887155e-121,True
32,1,0,43,7,"[5831, 8930, 9093, 5668, 9256, 2569, 2406, 5994]",1.613,0.964,1.592,1.4111879595109839e-62,0.0,True
33,1,0,43,1,"[5491, 8753]",0.981,0.981,0.981,3.283015933301055e-62,1.003406713090126e-118,True
34,1,0,43,5,"[5216, 8315, 8478, 2280, 2443, 5053]",1.898,1.0,1.693,5.507576024120752e-64,0.0,True
35,1,0,43,8,"[5413, 8675, 8349, 8512, 2314, 5250, 2477, 2640, 5087]",1.908,1.004,1.776,1.158656242015473e-67,0.0,True
36,1,0,43,4,"[5197, 8459, 8296, 2261, 2424]",1.858,1.02,1.481,3.206925767915504e-63,4.155218098706517e-302,True
37,1,0,43,2,"[9412, 9454, 24]",1.449,1.034,1.274,1.5346784687262417e-31,4.823146154415642e-86,True
38,1,0,43,5,"[5138, 8400, 2365, 8237, 8563, 5301]",1.966,1.043,1.786,1.3475590195778392e-64,0.0,True
39,1,0,43,8,"[5709, 8971, 2284, 5872, 8441, 2447, 9134, 8482, 5179]",1.894,1.052,1.821,3.7562293073806407e-65,0.0,True
40,1,0,43,3,"[6093, 9355, 2668, 9029]",1.963,1.06,1.486,3.770581279948884e-64,2.89273567182878e-245,True
41,1,0,43,4,"[5273, 8535, 2500, 2337, 8372]",1.939,1.061,1.608,1.9400178834444468e-64,3.36649485042676e-308,True
42,1,0,43,4,"[5111, 8373, 8536, 2338, 5437]",1.933,1.064,1.692,1.6445489394853103e-64,1.4736125032526136e-308,True
43,1,0,43,2,"[8663, 5401, 2628]",1.671,1.068,1.37,2.037127671675545e-62,1.1280619916181494e-178,True
44,1,0,43,6,"[8699, 5437, 2664, 2175, 8210, 2338, 8373]",1.936,1.072,1.852,2.2281631764923858e-66,0.0,True
45,1,0,43,7,"[8991, 9154, 5892, 5729, 2467, 8502, 2304, 6055]",1.836,1.08,1.541,9.429603473392353e-65,0.0,True
46,1,0,43,7,"[2528, 8563, 5953, 5301, 2365, 5790, 9215, 9052]",1.897,1.094,1.733,2.0538894539590743e-65,0.0,True
47,1,0,43,4,"[9307, 6045, 9144, 2620, 8981]",1.959,1.098,1.896,1.4531686992526757e-64,7.93833571460341e-309,True
48,1,0,43,4,"[5633, 8895, 2208, 2371, 8243]",1.953,1.101,1.732,1.3550062802683613e-62,5.59571810889137e-299,True
49,1,0,43,1,"[4868, 8130]",1.108,1.108,1.108,9.64973888785894e-66,8.668863112376555e-126,True
50,1,0,43,9,"[2242, 8440, 5178, 8277, 2405, 5667, 2446, 2283, 8603, 5871]",1.915,1.11,1.7,1.424883959885449e-64,0.0,True
51,1,0,43,3,"[5123, 8385, 2350, 8548]",1.821,1.123,1.819,4.017421376640301e-64,3.727906982821925e-245,True
52,1,0,43,2,"[5377, 8639, 2604]",1.755,1.128,1.442,5.5876763392439274e-64,2.327940888420315e-183,True
