ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,4,"0,2,1,3",217,1,"[4606, 7868]",3.282,3.282,3.282,0.0,0.0,True
1,3,"0,2,1",217,1,"[4547, 7809]",3.148,3.148,3.148,1.83e-322,0.0,True
2,1,0,217,1,"[5505, 8767]",1.883,1.883,1.883,8.215889353528159e-76,0.0,True
3,2,"0,1",217,1,"[5382, 8644]",2.88,2.88,2.88,1.9199391303114703e-182,0.0,True
4,1,0,217,1,"[5438, 8700]",2.083,2.083,2.083,2.530950848734571e-78,0.0,True
5,2,"0,1",217,1,"[5326, 8588]",3.227,3.227,3.227,2.032010096562374e-182,0.0,True
6,1,0,217,2,"[5586, 8848, 2161]",3.788,2.682,3.235,2.4910551645451336e-69,0.0,True
7,1,0,217,2,"[5260, 8522, 2487]",4.182,2.723,3.453,5.090000232850518e-75,0.0,True
8,1,0,217,2,"[5097, 8359, 2324]",3.936,2.805,3.37,4.8244057608965356e-74,0.0,True
9,1,0,217,2,"[5920, 9182, 2495]",3.637,2.869,3.253,5.6730396481432224e-70,0.0,True
10,1,0,217,3,"[5175, 8437, 2402, 8274]",4.35,2.919,4.191,7.166190116451903e-73,0.0,True
11,1,0,217,2,"[5665, 8927, 2240]",3.823,2.99,3.406,3.1695820948851474e-69,0.0,True
12,1,0,217,2,"[4906, 8168, 2133]",4.338,3.133,3.735,8.283361442615698e-69,0.0,True
