ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,2,"1,2",6,6,"[1542, 1590, 1566, 1423, 1327, 1375, 440]",0.63,0.053,0.59,9.82286193115013e-10,1.259681190216132e-44,True
1,1,2,6,61,"[123, 1707, 1467, 963, 795, 339, 699, 387, 748, 843, 867, 51, 1035, 27, 1635, 675, 171, 1011, 1539, 1059, 723, 459, 363, 651, 1491, 1155, 891, 219, 531, 627, 1756, 291, 3, 147, 1611, 1659, 1300, 1227, 315, 555, 819, 1203, 436, 1683, 1179, 507, 1803, 1420, 772, 1252, 100, 195, 1731, 579, 1563, 411, 604, 1323, 941, 1586, 915, 1371]",0.443,0.02,0.163,0.003268287548923713,8.687067783543732e-41,True
2,1,0,6,49,"[1348, 1372, 1300, 387, 195, 943, 1803, 1396, 1587, 914, 1594, 891, 1707, 1539, 124, 986, 1635, 1756, 796, 1253, 652, 351, 1563, 555, 244, 1611, 266, 884, 1659, 700, 445, 628, 1287, 1180, 601, 1468, 1153, 724, 437, 219, 1781, 1455, 684, 27, 483, 1683, 171, 1516, 1010, 1730]",0.733,0.032,0.586,7.441403931005942e-05,1.1262834520370077e-108,True
3,1,0,6,4,"[1616, 1664, 1100, 1271, 999]",0.333,0.033,0.218,0.02945337026444917,0.9999999999999997,False
4,1,2,6,18,"[558, 1662, 1614, 534, 318, 222, 30, 1638, 174, 150, 846, 415, 798, 894, 1710, 1735, 630, 1470, 366]",0.323,0.036,0.242,3.0236562050821842e-05,1.0858932576868184e-41,True
5,2,"0,1",6,53,"[1608, 1656, 51, 699, 444, 531, 27, 651, 1467, 1453, 843, 171, 363, 627, 244, 123, 675, 986, 723, 133, 854, 1492, 1563, 219, 436, 315, 1515, 147, 1289, 1756, 891, 1539, 1446, 339, 1586, 350, 4, 387, 1180, 1253, 868, 1632, 194, 1348, 555, 1133, 1300, 819, 1372, 483, 964, 606, 459, 269]",0.794,0.075,0.579,0.0006986476790663197,5.2079549298594403e-67,True
6,3,"0,1,2",6,3,"[862, 1462, 358, 1295]",0.336,0.176,0.199,3.1368481451653574e-17,4.659453549968843e-55,True
7,1,1,6,1,"[1002, 1628]",0.05,0.05,0.05,0.003919274840199025,0.9941064910545812,False
8,1,1,6,2,"[620, 731, 668]",0.351,0.063,0.207,0.0018224695015358365,0.6532054548460879,False
9,1,2,6,31,"[76, 444, 941, 412, 915, 1444, 508, 484, 195, 1420, 146, 868, 436, 340, 1253, 580, 124, 4, 52, 700, 1180, 100, 605, 1683, 1492, 1396, 555, 1468, 772, 1204, 892, 1827]",0.372,0.075,0.308,0.020869985972770646,0.8750489913705493,False
10,1,2,6,1,"[990, 1734]",0.076,0.076,0.076,0.00023611372798385815,0.07133382866853864,False
11,1,2,6,3,"[1689, 999, 1531, 1648]",0.332,0.077,0.33,1.3637490526271457e-05,1.631471632207195e-08,True
12,1,1,6,3,"[140, 862, 1462, 358]",0.151,0.08,0.142,4.744850515056981e-06,2.4222370224585286e-10,True
13,1,1,6,1,"[1674, 1744]",0.083,0.083,0.083,0.0008738302191907063,0.4790924682920118,False
14,1,2,6,3,"[1522, 1733, 1037, 29]",0.134,0.088,0.12,0.0001780115935565284,0.0003723215455582228,True
15,1,1,6,18,"[1014, 1372, 1348, 1563, 387, 1539, 1587, 1324, 772, 891, 1396, 171, 1300, 483, 445, 986, 782, 349, 796]",0.455,0.092,0.353,0.0058996110724707255,0.015793638267558054,False
16,1,1,6,56,"[1047, 1596, 1261, 1040, 1644, 1620, 1208, 736, 1664, 1401, 871, 945, 1310, 199, 210, 590, 1281, 1739, 224, 1616, 1066, 1173, 857, 995, 253, 1376, 1449, 617, 473, 369, 1088, 553, 418, 104, 353, 665, 1116, 462, 1432, 498, 1572, 848, 56, 1815, 920, 1091, 1471, 1359, 655, 1829, 1135, 980, 1822, 107, 560, 896, 1160]",1.794,0.094,1.524,8.135696396394581e-05,1.0113119335623102e-124,True
17,1,0,6,2,"[1240, 1575, 1551]",0.318,0.095,0.206,0.0007936832411849379,0.18220506364971903,False
18,1,1,6,4,"[1105, 1602, 1729, 236, 1243]",0.466,0.101,0.428,0.005650219904008138,0.97809555280631,False
19,2,"0,1",6,16,"[449, 1459, 1744, 1481, 860, 1648, 1412, 1438, 86, 1825, 546, 355, 903, 165, 304, 644, 880]",0.615,0.204,0.494,1.5460216610794454e-12,1.430295105568576e-160,True
20,2,"1,2",6,6,"[968, 535, 847, 127, 151, 583, 1327]",0.652,0.206,0.592,2.0164845656028883e-08,1.9352865748564592e-35,True
21,2,"0,2",6,1,"[598, 740]",0.223,0.223,0.223,0.0005619004362533012,0.2777454188744705,False
22,1,1,6,1,"[976, 232]",0.113,0.113,0.113,3.503900787001503e-06,2.0795132937804533e-05,True
23,1,2,6,1,"[228, 1013]",0.114,0.114,0.114,0.00042417460643378257,0.18495154524463067,False
24,1,1,6,1,"[1022, 1535]",0.12,0.12,0.12,0.004179255290337034,0.9961459099129295,False
25,1,1,6,2,"[611, 239, 257]",0.127,0.126,0.126,0.0006506610484728402,0.12055829912348198,False
26,1,2,6,2,"[429, 1481, 1503]",0.192,0.128,0.16,0.008908295706648249,0.9999895187583467,False
27,1,1,6,1,"[160, 817]",0.13,0.13,0.13,0.0006376943473548546,0.3289000855715648,False
28,1,2,6,78,"[1429, 1813, 925, 1706, 698, 1515, 1538, 1634, 1490, 782, 1226, 50, 347, 1044, 1658, 1212, 842, 194, 1755, 962, 1802, 218, 386, 2, 530, 674, 338, 122, 1034, 1010, 818, 35, 771, 1058, 1780, 866, 794, 747, 1356, 852, 458, 1466, 435, 890, 26, 914, 604, 1563, 579, 626, 517, 75, 507, 1154, 1250, 1610, 554, 11, 1299, 99, 1323, 1443, 650, 315, 290, 362, 828, 1275, 243, 899, 1731, 1347, 1641, 1371, 723, 411, 483, 1179, 1307]",1.39,0.13,1.142,0.0013028104230579083,2.5987856298836657e-89,True
29,1,2,6,3,"[1111, 821, 566, 1758]",0.236,0.131,0.202,0.029595694257102866,0.9999999999999994,False
30,1,2,6,1,"[1017, 993]",0.135,0.135,0.135,0.00038038402409731225,0.15641414614897142,False
