ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,2,"1,2",6,15,"[1542, 1590, 1566, 1423, 1327, 1375, 440, 1735, 487, 994, 127, 1784, 799, 1638, 728, 654]",0.725,0.053,0.679,3.929056427538928e-09,5.3031285606913556e-104,True
1,1,2,6,77,"[123, 1707, 1467, 963, 795, 339, 699, 387, 748, 843, 867, 51, 1035, 27, 1635, 675, 171, 1011, 1539, 1059, 723, 459, 363, 651, 1491, 1155, 891, 219, 531, 627, 1756, 291, 3, 147, 1611, 1659, 1300, 1227, 315, 555, 819, 1203, 436, 1683, 1179, 507, 1803, 1420, 772, 1252, 100, 195, 1731, 579, 1563, 411, 604, 1323, 941, 1586, 915, 1371, 483, 1443, 1396, 1347, 76, 1084, 444, 1827, 1452, 1044, 1356, 1212, 854, 268, 987, 1781]",0.729,0.02,0.201,0.005206465308360085,8.935907077200768e-80,True
2,2,"2,1",6,73,"[522, 1414, 141, 766, 42, 120, 1220, 359, 548, 1005, 311, 404, 263, 454, 863, 599, 383, 259, 94, 1295, 306, 192, 816, 46, 167, 1463, 18, 623, 479, 1702, 475, 22, 670, 379, 1626, 1746, 186, 812, 908, 1435, 836, 647, 741, 331, 1728, 789, 1439, 526, 719, 215, 1247, 1529, 881, 1128, 336, 237, 1098, 1195, 116, 288, 241, 1654, 1177, 431, 1316, 1483, 1551, 888, 1559, 1606, 1536, 595, 1650, 1630]",0.725,0.079,0.553,7.96225254800827e-06,3.497670556157456e-281,True
3,2,"1,0",6,2,"[1615, 1663, 1639]",0.475,0.124,0.299,0.0018750831667277421,0.11035373893776028,False
4,3,"1,0,2",6,7,"[1577, 1553, 1295, 1462, 862, 358, 475, 1488]",0.697,0.326,0.576,1.1141049390347283e-05,1.1439973570683167e-22,True
5,1,1,6,66,"[245, 1467, 363, 4, 1132, 892, 124, 1289, 964, 1493, 445, 1180, 700, 1454, 171, 437, 987, 77, 484, 1446, 388, 28, 652, 629, 724, 1684, 219, 797, 349, 1756, 1085, 605, 868, 1711, 340, 1563, 749, 270, 51, 1587, 557, 1325, 1656, 782, 1372, 1608, 1539, 843, 1421, 1348, 772, 1733, 316, 1230, 101, 1278, 579, 149, 196, 852, 1396, 1014, 676, 942, 953, 1516, 1637]",0.711,0.043,0.436,0.0070381086349417185,6.250766314780333e-56,True
6,1,2,6,100,"[1078, 910, 693, 744, 332, 237, 575, 306, 768, 1363, 141, 1029, 1221, 810, 526, 404, 73, 836, 1407, 455, 1824, 764, 935, 64, 1575, 186, 1746, 1055, 548, 1728, 96, 383, 1763, 263, 1773, 1129, 1314, 883, 475, 192, 672, 379, 1175, 313, 788, 1195, 336, 905, 1414, 1074, 1631, 1247, 1005, 622, 731, 481, 522, 42, 214, 1386, 119, 1534, 433, 1550, 595, 1703, 1462, 739, 814, 1049, 408, 600, 887, 714, 645, 358, 46, 287, 1100, 160, 1561, 22, 501, 241, 1171, 1437, 178, 0, 1295, 1505, 166, 1150, 1698, 1655, 1582, 1799, 930, 1751, 115, 1627, 959]",0.729,0.06,0.489,0.030351871495140546,6.5890004690767355e-43,True
7,1,1,6,44,"[1271, 117, 143, 22, 767, 454, 647, 960, 905, 1195, 477, 190, 1702, 813, 93, 1222, 87, 263, 1484, 381, 1558, 66, 597, 1002, 1628, 404, 1007, 975, 1241, 1727, 184, 1251, 307, 947, 1530, 16, 311, 522, 355, 1414, 1186, 46, 1460, 1818, 1598]",0.723,0.064,0.541,0.0153912968390265,2.4298373880801552e-17,True
8,1,2,6,22,"[1689, 999, 1531, 1648, 257, 545, 1342, 1217, 1485, 1604, 91, 1548, 16, 1258, 303, 1389, 1652, 633, 593, 1624, 1319, 833, 1572]",0.735,0.077,0.626,1.716359796477364e-05,8.760228974242632e-69,True
9,1,1,6,56,"[1674, 1744, 644, 449, 235, 73, 732, 1481, 860, 1319, 887, 1176, 1459, 1100, 1748, 1008, 1605, 1653, 669, 304, 1211, 1438, 787, 1342, 165, 1648, 138, 355, 621, 403, 1264, 1127, 1769, 1509, 1104, 45, 334, 696, 310, 1412, 1715, 1776, 382, 972, 1629, 287, 947, 158, 1503, 494, 1219, 546, 257, 86, 1003, 41, 178]",0.735,0.083,0.618,0.0017767305330032362,9.997173937643802e-77,True
