ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,1,0,21,9,"[4289, 7551, 5054, 9009, 7908, 8520, 6797, 8316, 5176, 5747]",1.664,0.284,1.596,4.8495809348653625e-06,1.1656545326432732e-20,True
1,1,0,21,9,"[4697, 7959, 3718, 7633, 4534, 4045, 8153, 8194, 3188, 2118]",1.894,0.337,1.668,1.2601518397261939e-06,1.687487763707849e-26,True
2,2,"0,1",21,9,"[4904, 8166, 2131, 7513, 8819, 5557, 1478, 2784, 2855, 6942]",2.422,0.455,1.763,2.035352899729101e-08,2.0609493011550731e-44,True
3,1,0,21,9,"[4583, 7845, 4420, 7682, 5980, 8008, 9242, 4746, 8426, 8304]",1.315,0.358,1.135,0.00012025584586150132,3.7930403209550543e-07,True
4,1,0,21,9,"[4689, 7951, 4546, 7808, 9256, 4363, 9093, 4291, 2161, 2324]",1.682,0.364,1.498,1.7298648058680774e-05,3.4906791803545956e-15,True
5,2,"2,0",21,9,"[4672, 7934, 7730, 4468, 5447, 3816, 3897, 7771, 7037, 9320]",2.445,0.501,2.25,1.5251456460452317e-12,1.1504288645866488e-85,True
6,2,"1,0",21,9,"[4820, 8082, 7674, 7735, 2119, 6950, 3902, 4575, 4412, 6818]",2.715,0.505,2.543,4.792912806956824e-08,1.0803432827618294e-40,True
7,1,0,21,9,"[4805, 8067, 7088, 3796, 5274, 7557, 880, 839, 3826, 3572]",1.919,0.374,1.814,2.647696943589743e-07,2.85387191663245e-33,True
8,1,0,21,9,"[5537, 8799, 1480, 8820, 5558, 4977, 2133, 94, 6872, 359]",1.522,0.381,1.282,3.985792971688924e-05,1.2115636604263114e-11,True
9,1,0,21,9,"[4771, 8033, 7544, 2447, 9338, 4282, 8441, 8482, 2284, 9175]",1.297,0.389,1.118,1.4437211721686555e-06,6.563801292514485e-26,True
10,1,0,21,9,"[4781, 8043, 5352, 3874, 8451, 2773, 9185, 9348, 2579, 5923]",1.759,0.393,1.613,3.977590337122956e-05,1.1876998492404139e-11,True
11,1,0,21,9,"[4648, 7910, 3751, 5260, 8522, 2324, 5056, 5097, 8359, 7992]",1.064,0.395,0.936,3.5989386647128584e-05,4.5127259846383255e-12,True
12,1,0,21,9,"[4590, 7852, 4753, 8015, 4223, 7689, 4427, 8260, 9198, 3734]",1.288,0.411,0.88,3.1292876477939805e-05,1.16078843093229e-12,True
13,2,"0,2",21,9,"[4663, 7925, 5438, 4500, 2665, 2502, 6090, 8537, 9271, 7762]",2.023,0.534,1.774,1.0879734022573564e-10,3.925807106209867e-67,True
14,1,0,21,9,"[4798, 8060, 6062, 9324, 2637, 4064, 8631, 5736, 3901, 8998]",1.554,0.411,1.35,1.1754198108639786e-06,8.418995233141833e-27,True
15,1,0,21,9,"[5528, 8790, 1175, 7975, 4743, 8005, 4713, 3734, 8913, 6180]",1.751,0.418,1.6,3.028301901664088e-08,1.095530540900421e-42,True
16,1,0,21,9,"[4812, 8074, 3833, 1234, 215, 5465, 6811, 7707, 5302, 3875]",2.162,0.421,2.096,9.317639639630747e-06,7.687885295660747e-18,True
17,2,"0,2",21,9,"[4624, 7886, 4013, 7784, 4440, 4807, 4461, 8069, 7275, 7702]",2.925,0.582,2.814,2.1809769299746603e-14,4.113933809125327e-104,True
18,1,0,21,9,"[4704, 7966, 8201, 4939, 3379, 8935, 5673, 5836, 4918, 7640]",1.835,0.43,1.715,2.0384566996726898e-07,2.0892747636232833e-34,True
19,1,0,21,9,"[5413, 8675, 5780, 9042, 8349, 3089, 6677, 3048, 2355, 2681]",1.23,0.448,1.2,0.00012038975862081707,3.831090383197072e-07,True
20,1,0,21,9,"[4606, 7868, 2445, 8480, 3179, 8439, 9336, 4769, 8276, 5177]",1.46,0.458,1.317,3.0137222877636117e-06,1.0173168241252398e-22,True
21,1,0,21,9,"[4679, 7941, 5678, 2416, 2579, 5882, 8940, 5107, 8981, 2253]",1.772,0.472,1.691,4.580409500339568e-06,6.600576394994468e-21,True
22,1,0,21,9,"[4556, 7818, 4393, 3129, 6595, 7777, 6391, 9286, 6024, 2670]",1.583,0.474,1.253,0.0002226149306228752,7.483518623814383e-05,True
23,1,0,21,9,"[8243, 4981, 8569, 8406, 5307, 5144, 8732, 2208, 5470, 1484]",1.264,0.479,1.133,0.0008369955859344782,0.2801089331090834,False
24,1,0,21,9,"[4761, 8023, 9328, 4190, 7860, 4598, 6066, 8390, 9165, 4272]",1.336,0.491,1.23,4.547714418682681e-06,6.146012654038575e-21,True
25,1,0,21,9,"[4616, 7878, 3271, 1130, 4453, 2904, 6737, 2282, 3841, 3179]",1.636,0.498,1.396,3.517665261507424e-06,4.754183431472843e-22,True
26,2,"0,2",21,9,"[4791, 8053, 3894, 7727, 2589, 4342, 7931, 4179, 4465, 4689]",2.352,0.591,2.187,4.151652752069608e-12,2.5701400139859234e-81,True
