ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,4,"1,2,3,5",60,25,"[1174, 1790, 2493, 1814, 2520, 2548, 1612, 1479, 1196, 1461, 5523, 2474, 1761, 1594, 6450, 1831, 1355, 1212, 905, 1847, 924, 982, 964, 1228, 942, 1257]",2.475,0.0,2.317,0.02722896704936862,1.0000000000000007,False
1,4,"0,1,2,3",60,34,"[12708, 12724, 12853, 12869, 12885, 13017, 13033, 13049, 13065, 13081, 13097, 13165, 13181, 13197, 13273, 13289, 13305, 13321, 13337, 13353, 13415, 13431, 13447, 13463, 13479, 13495, 13511, 13527, 13599, 13615, 13631, 13647, 13734, 13750, 13766]",0.0,0.0,0.0,0.0002556642900017954,8.484392745454577e-23,True
2,4,"0,1,2,3",60,42,"[12901, 13226, 13118, 13368, 12942, 1397, 5551, 12708, 12724, 12853, 12869, 12885, 13017, 13033, 13049, 13065, 13081, 13097, 13165, 13181, 13197, 13273, 13289, 13305, 13321, 13337, 13415, 13431, 13447, 13463, 13479, 13495, 13511, 13527, 13599, 13615, 13631, 13647, 13734, 13750, 13766, 13991, 12806]",2.324,0.0,1.936,0.0002441636877470293,6.383065928314732e-32,True
3,4,"0,1,2,3",60,44,"[12917, 13242, 12822, 13134, 13384, 1413, 5567, 12708, 12724, 12853, 12869, 12885, 13017, 13033, 13049, 13065, 13081, 13097, 13165, 13181, 13197, 13273, 13289, 13305, 13321, 13337, 13353, 13415, 13431, 13447, 13463, 13479, 13495, 13511, 13527, 13599, 13615, 13631, 13647, 13734, 13750, 13766, 12958, 13990, 14007]",2.15,0.0,1.936,0.0002441636877470293,3.777790747912504e-34,True
4,4,"0,1,2,3",60,40,"[13663, 12890, 13215, 13107, 13357, 12931, 1386, 5540, 12708, 12724, 12853, 12869, 13017, 13033, 13049, 13065, 13081, 13165, 13181, 13197, 13273, 13289, 13305, 13321, 13337, 13415, 13431, 13447, 13463, 13479, 13495, 13511, 13527, 13599, 13615, 13631, 13647, 13734, 13750, 13766, 12795]",2.324,0.0,1.936,0.0002441636877470293,9.837998314994576e-30,True
5,4,"0,1,2,3",60,43,"[14030, 12845, 13157, 13407, 14013, 13264, 1145, 2005, 3076, 12708, 12724, 12861, 12877, 13017, 13033, 13049, 13065, 13081, 13097, 13173, 13189, 13205, 13280, 13296, 13312, 13328, 13344, 13423, 13439, 13455, 13471, 13487, 13503, 13519, 13535, 13599, 13615, 13631, 13647, 13734, 13750, 13766, 12939, 12804]",2.064,0.0,1.936,0.00024201834437362222,3.468491685875517e-33,True
6,3,"2,3,4",60,1,"[681, 6044]",0.0,0.0,0.0,0.036326618335771145,1.0,False
7,3,"1,2,3",60,98,"[998, 902, 918, 934, 950, 966, 982, 1153, 1169, 1185, 1201, 1217, 1233, 1249, 1341, 1357, 1373, 1444, 1460, 1476, 1492, 1572, 1588, 1604, 1760, 1776, 1792, 1808, 1824, 1840, 1856, 2013, 2029, 2460, 2476, 2492, 2508, 2524, 2540, 2556, 3084, 5515, 5531, 6437, 6453, 12660, 12676, 12692, 12708, 12724, 12740, 12853, 12869, 12885, 12989, 13005, 13021, 13037, 13053, 13069, 13085, 13101, 13165, 13181, 13197, 13273, 13289, 13305, 13321, 13337, 13353, 13415, 13431, 13447, 13463, 13479, 13495, 13511, 13527, 13543, 13559, 13575, 13591, 13607, 13623, 13639, 13655, 13734, 13750, 13766, 13782, 13798, 13814, 13830, 13846, 13862, 13878, 13894, 14038]",0.0,0.0,0.0,0.049103447014056924,1.0000000000000007,False
8,3,"1,2,3",60,5,"[1126, 12826, 13138, 13388, 1986, 3057]",0.0,0.0,0.0,0.0491035888014255,1.0000000000000004,False
9,3,"1,2,3",60,3,"[1628, 13118, 13368, 1880]",0.0,0.0,0.0,0.04910358880142548,1.0000000000000007,False
10,3,"1,2,3",60,4,"[1647, 1675, 1899, 1703, 1927]",1.594,0.0,0.797,0.04910373058920348,0.9999999999999969,False
11,3,"1,2,3",60,6,"[1731, 1415, 5569, 12919, 12960, 13244, 1955]",1.594,0.0,0.0,0.04910373058920347,0.9999999999999969,False
12,3,"2,3,5",60,5,"[2068, 3064, 4968, 5288, 7148, 0]",0.92,0.0,0.0,0.30458660212085764,1.0,False
13,3,"2,3,5",60,4,"[2084, 4165, 2847, 3073, 5309]",0.0,0.0,0.0,0.30458660212085764,1.0,False
14,3,"2,3,5",60,4,"[2100, 4097, 4181, 2863, 5325]",0.0,0.0,0.0,0.30458660212085764,1.0,False
15,3,"2,3,5",60,7,"[2116, 1170, 4113, 4197, 3734, 4632, 5341, 2879]",1.956,0.0,0.0,0.30458660212085764,1.0,False
16,3,"1,2,3",60,8,"[2440, 1424, 1740, 5578, 12969, 13253, 1964, 3035, 12928]",1.594,0.0,0.0,0.04910373058920348,0.9999999999999969,False
17,3,"2,3,5",60,1,"[2802, 3809]",0.0,0.0,0.0,0.3046431713418363,1.0000000000000018,False
18,3,"2,3,5",60,1,"[3580, 4341]",0.0,0.0,0.0,0.30470387962912515,0.9999999999999997,False
19,3,"2,3,5",60,8,"[3750, 2505, 4844, 4129, 5666, 1186, 1802, 4334, 6517]",1.956,0.0,0.978,0.30470387962912515,0.9999999999999997,False
20,3,"2,3,5",60,18,"[3766, 2069, 3065, 3782, 4134, 4150, 4849, 4865, 4881, 4969, 5289, 5671, 7149, 7165, 7181, 7197, 7213, 7229, 7245]",0.0,0.0,0.0,0.30470387962912515,0.9999999999999997,False
21,3,"2,3,5",60,1,"[3917, 4829]",0.0,0.0,0.0,0.3046997408953228,1.0000000000000022,False
22,3,"2,3,5",60,2,"[4948, 3583, 4344]",0.0,0.0,0.0,0.3047213656283417,0.9999999999999987,False
23,3,"2,3,5",60,8,"[4985, 2518, 5687, 7266, 1183, 1799, 2127, 2885, 3084]",1.956,0.0,1.956,0.30472136562834157,0.9999999999999992,False
24,3,"1,2,3",60,7,"[5499, 1428, 1744, 2444, 12973, 13257, 1968, 3039]",1.594,0.0,0.0,0.04910373058920347,0.9999999999999969,False
25,3,"2,3,5",60,4,"[6313, 5693, 7272, 1805, 3090]",1.956,0.0,0.978,0.3047995450898861,1.0000000000000018,False
26,3,"2,3,5",60,7,"[6650, 1621, 2483, 2502, 3747, 4126, 4841, 5663]",1.996,0.0,1.996,0.3047779148163635,1.0000000000000016,False
27,3,"2,3,4",60,4,"[6703, 7600, 4271, 6023, 7073]",1.996,0.0,0.978,0.07036610666080506,0.9999999999999982,False
28,3,"2,3,4",60,3,"[6719, 7615, 6071, 4816]",1.996,0.0,1.956,0.06924720971621405,0.9999999999999992,False
29,3,"0,2,3",60,1,"[12774, 12694]",0.0,0.0,0.0,0.2619180604127809,1.0,False
30,3,"0,2,3",60,2,"[13941, 13558, 13687]",0.0,0.0,0.0,0.2592432132209605,0.9999999999999979,False
31,3,"0,2,3",60,2,"[13957, 13574, 13703]",0.0,0.0,0.0,0.25924321322096044,1.0000000000000022,False
32,3,"0,2,3",60,3,"[13973, 13590, 13719, 11957]",1.498,0.0,0.0,0.2592432132209605,0.9999999999999979,False
33,3,"2,3,5",60,1,"[2153, 2544]",0.0,0.0,0.0,0.30454341282738157,0.9999999999999925,False
34,3,"2,3,5",60,1,"[3135, 5930]",0.0,0.0,0.0,0.30462158674122913,0.9999999999999929,False
