ID,k,Features,m,#Matches,Indices,max(dists),min(dists),med(dists),P,p-value,Sig_Hochber
0,4,"1,2,3,5",60,6,"[1174, 1790, 2493, 2548, 1612, 1479, 5523]",2.317,0.0,2.181,0.02717727493775266,0.9715745539061897,False
1,4,"0,1,2,3",60,61,"[12708, 12853, 12885, 13017, 13049, 13081, 13165, 13197, 13273, 13305, 13337, 13415, 13447, 13479, 13511, 13599, 13631, 13734, 13766, 902, 934, 966, 998, 1153, 1185, 1217, 1249, 1341, 1373, 1444, 1476, 1572, 1604, 1760, 1792, 1824, 1856, 2013, 2460, 2492, 2524, 2556, 3084, 5515, 6437, 12660, 12740, 12788, 12820, 12917, 12949, 13113, 13229, 13369, 13543, 13663, 13798, 13830, 13862, 13894, 13982, 14014]",1.936,0.0,1.936,9.046011710344211e-05,3.684415103666592e-173,True
2,3,"2,3,4",60,1,"[681, 6044]",0.0,0.0,0.0,0.017170214758727875,0.9972722235280139,False
3,3,"1,2,3",60,16,"[1126, 12826, 13138, 13388, 1986, 3057, 12027, 1416, 1732, 5570, 1648, 1900, 13960, 14011, 12920, 12961, 13245]",1.996,0.0,1.996,0.048990843392475864,0.9224415452330698,False
4,3,"1,2,3",60,15,"[1389, 5543, 12893, 13218, 13666, 6466, 1705, 1929, 12756, 1620, 1872, 13110, 13360, 12934, 12000, 12056]",2.318,0.0,1.594,0.048991126828029315,0.9516378761894543,False
5,3,"2,3,5",60,11,"[2068, 3064, 4968, 5288, 7148, 0, 6535, 1156, 4625, 6312, 1391, 3579]",1.996,0.0,1.956,0.3044603338730043,0.9999999999999998,False
6,3,"2,3,5",60,12,"[2084, 4165, 2847, 3073, 5309, 4081, 4648, 5349, 5402, 4271, 1634, 3796, 6540]",1.996,0.0,1.996,0.3044603289284927,1.0,False
7,3,"2,3,5",60,14,"[2100, 4097, 4181, 2863, 5325, 1154, 3089, 4616, 6367, 4302, 1650, 2805, 3388, 4226, 5365]",1.996,0.0,1.956,0.30446032892849256,1.0000000000000007,False
8,3,"2,3,5",60,15,"[2116, 1170, 4113, 4197, 3734, 4632, 5341, 2879, 1786, 2489, 3916, 5392, 2821, 3392, 4269, 4303]",1.996,0.0,1.996,0.3044603289284925,1.000000000000001,False
9,3,"1,2,3",60,16,"[2440, 1424, 1740, 5578, 12969, 13253, 1964, 3035, 12928, 12035, 1133, 12833, 13145, 13395, 13701, 12791, 10780]",2.316,0.0,1.936,0.048991126828029315,0.9224454865989913,False
10,3,"2,3,5",60,15,"[3750, 2505, 4844, 4129, 5666, 1186, 1802, 4334, 6517, 1624, 1995, 2837, 4080, 4263, 4648, 6649]",1.996,0.0,1.996,0.30457759286098113,0.999999999999999,False
11,3,"2,3,5",60,12,"[3766, 2069, 3065, 4134, 4849, 4881, 4969, 5289, 5671, 7149, 7181, 7213, 7245]",0.0,0.0,0.0,0.30457759286098113,0.999999999999999,False
12,3,"2,3,5",60,13,"[4985, 2518, 5687, 7266, 1183, 1799, 2127, 2885, 3084, 6307, 5933, 4896, 6662, 3138]",1.996,0.0,1.956,0.30459508164355054,1.0000000000000002,False
13,3,"1,2,3",60,17,"[5499, 1428, 1744, 2444, 12973, 13257, 1968, 3039, 12039, 1137, 12837, 13149, 13399, 14022, 13705, 12932, 10784, 12795]",2.263,0.0,1.996,0.048991126828029315,0.8823724930446664,False
14,3,"2,3,4",60,4,"[6703, 7600, 4271, 6023, 7073]",1.996,0.0,0.978,0.08330172119142745,0.9999999999997123,False
15,3,"2,3,4",60,3,"[6719, 7615, 6071, 4816]",1.996,0.0,1.956,0.0867779113082228,0.9999999999999939,False
16,3,"0,2,3",60,7,"[13941, 13558, 13687, 11208, 11582, 11458, 11332, 11802]",2.237,0.0,2.161,0.11596304729601326,1.0000000000000016,False
17,3,"1,2,3",60,9,"[1945, 1721, 3016, 1405, 5559, 1665, 12909, 12950, 13234, 14000]",2.163,0.0,1.594,0.048961897367472466,0.9993407995722788,False
18,3,"2,3,5",60,5,"[2153, 2544, 4340, 6322, 7325, 5011]",2.017,0.0,1.996,0.3044171624889515,1.000000000000002,False
19,3,"2,3,5",60,10,"[4365, 4902, 7020, 6668, 2023, 5692, 6313, 7271, 5222, 5823, 188]",2.249,0.0,1.996,0.3046557655210053,1.0000000000000022,False
20,3,"2,3,0",60,15,"[11563, 14033, 13539, 13668, 13779, 11188, 11437, 11313, 11687, 11783, 2381, 842, 5440, 2950, 6377, 11968]",2.243,0.017,0.432,0.13115580256379178,0.9999999999998997,False
21,3,"1,2,3",60,8,"[2047, 2566, 3090, 5585, 6465, 10800, 12052, 12755, 11492]",2.246,0.034,1.535,6.280383583768487e-05,4.14799263776915e-20,True
